overall_episode,season,episode_in_season,season_episode_code,title,synopsis,theme_tags,episode_type,is_retired,primary_country,all_countries,region,primary_destination,iso2,flag,lat,long,geo_match,original_air_date,air_year,air_month,air_weekday,days_since_premiere,gap_since_prev_episode_d,imdb_tconst,imdb_url,imdb_rating,imdb_votes,imdb_rating_shrunk,imdb_low_votes,image_url,image_source,best_summary,summary_source,best_runtime,watch_url,tvmaze_url,tvmaze_id
115,9,9,S09E09,Southeast England,Traveling from Canterbury to Dover; hiking the trails atop the cliffs of the South Downs; seaside resort of Brighton; the naval heritage of Portsmouth includes a collection of historic sailing ships.,Nature & Outdoors,Standard,No,United Kingdom,United Kingdom,British Isles,Southeast England,GB,🇬🇧,54.7023545,-3.2765753,country,2016-11-27,2016,Nov,Sun,5929,7,tt11558512,https://www.imdb.com/title/tt11558512/,8.3,25,8.028503851871875,FALSE,https://i.ytimg.com/vi/3Lk_QGzLabw/maxresdefault.jpg,ricksteves.com,"Arcing along the southeast coast of England, we'll travel from Canterbury (with its famous cathedral) to Dover (stoutly fortified from Roman times to the Battle of Britain). Then we'll hike the trails that top the towering chalk cliffs of the South Downs, wander into the beachy resort of Brighton (England's Coney Island), and push on to Portsmouth, whose naval heritage has left it with the best collection of historic sailing ships anywhere.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/southeast-england,https://www.tvmaze.com/episodes/955404/rick-steves-europe-9x09-southeast-england,955404
116,9,10,S09E10,England's Cornwall,The Cornish culture in the far southwest of England; tin mining heritage; pirates' towns and fishing villages; Dartmoor National Park.,Nature & Outdoors; Industry & Crafts,Standard,No,United Kingdom,United Kingdom,British Isles,Cornwall,GB,🇬🇧,50.4433489,-4.6246566,full,2016-12-04,2016,Dec,Sun,5936,7,tt11558476,https://www.imdb.com/title/tt11558476/,8,25,7.875442627382078,FALSE,https://i.ytimg.com/vi/VU8vqnITmtY/maxresdefault.jpg,ricksteves.com,"The far southwest of England is a world unto itself, with a persistent Cornish culture. We'll explore a world of flowers springing from towering hedges, a tin-mining heritage going back to biblical times, salty pirates' towns and fishing villages, and the Land's End of England. Then, side-tripping deep into the vast and mysterious Dartmoor National Park, we'll hike to forgotten stone circles and chase wild ponies.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/england-cornwall,https://www.tvmaze.com/episodes/955405/rick-steves-europe-9x10-englands-cornwall,955405
117,10,1,S10E01,The Heart of England,"Kings and prime ministers studied at Oxford and Cambridge universities; Blenheim Palace, the birthplace of Winston Churchill; Ironbridge Gorge.",Art & Architecture; History & Heritage,Standard,No,United Kingdom,United Kingdom,British Isles,Heart of England,GB,🇬🇧,52.3832924,-1.6532839,full,2018-10-06,2018,Oct,Sat,6607,671,tt11947286,https://www.imdb.com/title/tt11947286/,8.1,28,7.93647478349465,FALSE,https://i.ytimg.com/vi/Y4Syasft_5Y/maxresdefault.jpg,ricksteves.com,"The heartland of England has sights that put the ""Great"" in Britain — its venerable universities, its royal heritage, and reminders of its industrial might. At Oxford and Cambridge, we'll see where kings and prime ministers studied. At Blenheim Palace — Winston Churchill's birthplace — we'll connect with English aristocracy. At Ironbridge Gorge, we fire up memories of the Industrial Revolution. And all along the way, we'll be driving on the left and polishing our pub etiquette.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/heart-of-england,https://www.tvmaze.com/episodes/1630065/rick-steves-europe-10x01-the-heart-of-england,1630065
118,10,2,S10E02,Lisbon,"A visit to Lisbon, Portugal, features cod, hot pastries, a stroll of the city's back lanes and fado music; exploring castles of Portuguese royalty in Sintra.",Food & Cuisine; History & Heritage; Music & Festivals,Standard,No,Portugal,Portugal,Iberia,Lisbon,PT,🇵🇹,38.7077507,-9.1365919,full,2018-10-13,2018,Oct,Sat,6614,7,tt11558318,https://www.imdb.com/title/tt11558318/,8.2,27,7.986209583171016,FALSE,https://i.ytimg.com/vi/Qe5T3Jxhem0/maxresdefault.jpg,ricksteves.com,"Lisbon, built with the riches of Portugal's New World discoveries, has a rustic charm. We'll remember great navigators, eat lots of cod, enjoy pastries hot out of the oven, stroll the city's back lanes and its reinvigorated waterfront, marvel at an exquisite church built with spice taxes, and enjoy some soulful fado music. Then we'll side-trip to Sintra to explore the fanciful castles of Portuguese royalty and climb hilltop ramparts with grand views.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/lisbon,https://www.tvmaze.com/episodes/1630067/rick-steves-europe-10x02-lisbon,1630067
119,10,3,S10E03,Portugal's Heartland,"Dancing on the beach in Nazare, Portugal; medieval abbey in Batalha; royal library; port wine; exploring Porto, Portugal.",Food & Cuisine; History & Heritage; Nature & Outdoors; Religion & Spirituality,Standard,No,Portugal,Portugal,Iberia,Heartland Portugal,PT,🇵🇹,39.6621648,-8.1353519,country,2018-10-20,2018,Oct,Sat,6621,7,tt12960532,https://www.imdb.com/title/tt12960532/,7.8,25,7.773401811055548,FALSE,https://i.ytimg.com/vi/0IvZOZtjMYM/maxresdefault.jpg,ricksteves.com,"Portugal has an oversized history, fascinating culture, and boatloads of sardines. Saving the capital city of Lisbon for another episode, we'll dance on the beach at Nazaré, marvel at a medieval abbey in Batalha, visit a royal library and revel with university students in Coimbra, savor port wine with the people who made it along the Douro River, and get to know Portugal's gritty and fascinating second city, Porto.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/portugal,https://www.tvmaze.com/episodes/1630068/rick-steves-europe-10x03-portugals-heartland,1630068
120,10,4,S10E04,Travel Skills: Cruising,"The ins and outs and pros and cons of cruising, including making smart use of limited time on shore and the congestion and commercialism that comes with mass tourism.",Travel Logistics,Travel Skills,No,Multiple,Multiple,Multi-Region,Mediterranean Cruise,ZZ,🌍,NA,NA,NA,2018-10-27,2018,Oct,Sat,6628,7,tt11563632,https://www.imdb.com/title/tt11563632/,8,24,7.872847682119205,FALSE,https://i.ytimg.com/vi/ctgV7gvd0_M/maxresdefault.jpg,ricksteves.com,"Setting sail on the Mediterranean, we'll explore the ins and outs and pros and cons of cruising. We'll learn how to get the most out of a cruise and exercise our independence to make smart use of limited time on shore by planning well, avoiding lines, and eating quick-but-local meals on the go. Along with the joys and efficiencies of cruising, we'll consider the downsides, including the inevitable congestion and commercialism that comes with mass tourism.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/cruising-skills,https://www.tvmaze.com/episodes/1630069/rick-steves-europe-10x04-travel-skills-cruising,1630069
121,10,5,S10E05,"Greek Islands: Santorini, Mykonos, and Rhodes","Three classic Greek getaways -- Santorini, Mykonos and Rhodes -- include touring ancient Greek ruins, tracing the vestiges of the Crusades and sampling rustic cuisine.",Food & Cuisine; History & Heritage; Nature & Outdoors,Standard,No,Greece,Greece,Mediterranean,Greek Islands,GR,🇬🇷,39.1856681,20.172817,full,2018-11-03,2018,Nov,Sat,6635,7,tt11569268,https://www.imdb.com/title/tt11569268/,8,26,7.877933774834437,FALSE,https://i.ytimg.com/vi/HZOuDhwzsq0/maxresdefault.jpg,ricksteves.com,"We'll island-hop through the Aegean, sampling three classic Greek getaways — Santorini, Mykonos, and Rhodes — and basking in their dramatic beauty. We'll tour ancient ruins, trace the vestiges of the Crusaders, sample rustic cuisine, savor classic Greek-island views, and compare beaches — from the ultimate party beach to idyllic quiet hideaways. And we'll see how a cruise ship can be an efficient way to link up great island stopovers.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/greek-islands,https://www.tvmaze.com/episodes/1630070/rick-steves-europe-10x05-greek-islands-santorini-mykonos-and-rhodes,1630070
122,10,6,S10E06,European Festivals I,"Siena, Italy's, Palio horse race; Scottish Highland Games; Carnevale in Venice, Italy; celebrating Easter in Greece.",Religion & Spirituality; Music & Festivals,Special,No,Multiple,Multiple,Multi-Region,Various,ZZ,🌍,NA,NA,NA,2018-11-10,2018,Nov,Sat,6642,7,tt11776308,https://www.imdb.com/title/tt11776308/,7.8,23,7.7722699732281235,FALSE,https://i.ytimg.com/vi/VlZiWdWGWb0/maxresdefault.jpg,ricksteves.com,"In this first of two episodes on Europe's greatest festivals, we'll cheer with the masses at Siena's crazy Palio horse race, toss a caber at a Scottish Highland Games, don a mask for Carnevale in Venice, and celebrate Easter in Greece. Dropping in on some of the Continent's top parties, we discover that each one is a celebration of traditional culture, and all of them are full of opportunities to sing and dance, feast on traditional food, and party with locals.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/festivals-1,https://www.tvmaze.com/episodes/1630071/rick-steves-europe-10x06-european-festivals-i,1630071
123,10,7,S10E07,European Festivals II,April Fair in Seville; Bastille Day in Paris; running with the bulls in Pamplona; Munich's Oktoberfest; Christmas; Nuremberg's holiday market; sledding by torchlight in Switzerland.,Food & Cuisine; Nature & Outdoors; Religion & Spirituality; Music & Festivals,Special,No,Multiple,Multiple,Multi-Region,Various,ZZ,🌍,NA,NA,NA,2018-11-17,2018,Nov,Sat,6649,7,tt11776174,https://www.imdb.com/title/tt11776174/,7.9,23,7.821206143440891,FALSE,https://i.ytimg.com/vi/EBNbUnUk6YE/maxresdefault.jpg,ricksteves.com,"In this second of two episodes on Europe's greatest festivals, we'll dance with Spaniards at Sevilla's April Fair, celebrate Bastille Day in Paris, run with the bulls at Pamplona, and hoist a frothy stein at Munich's Oktoberfest. And we'll celebrate a traditional family Christmas, browsing the holiday market in Nürnberg and sledding down alpine slopes by torchlight in Switzerland. With the entire Continent as our playground, fun is our mission.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/festivals-2,https://www.tvmaze.com/episodes/1630072/rick-steves-europe-10x07-european-festivals-ii,1630072
124,10,8,S10E08,The Best of Sicily,"Palermo, Italy; the Romanesque cathedral of Monreale; Mount Etna; cannoli; Greek temples at Agrigento; Roman mosaics at the Villa Romana del Casale; the Greek theater in Taormina.",Food & Cuisine; Art & Architecture; History & Heritage; Religion & Spirituality,Standard,No,Italy,Italy,Mediterranean,Sicily,IT,🇮🇹,37.587794,14.155048,full,2018-11-24,2018,Nov,Sat,6656,7,tt11772898,https://www.imdb.com/title/tt11772898/,8.2,25,7.977483443708609,FALSE,https://i.ytimg.com/vi/UYp5bX4rgOQ/maxresdefault.jpg,ricksteves.com,"This tour of Sicilian highlights starts in Palermo, where we'll sing with the merchants in the markets, join locals in their passeggiata, drop in on a contessa, and marvel at the Romanesque cathedral of Monreale. Then we'll sip wine on the slopes of Mount Etna, munch cannoli, ponder Greek temples at Agrigento, admire Roman mosaics at the Villa of Casale, and marvel at the view from the Greek theater in Taormina.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/sicily,https://www.tvmaze.com/episodes/1630073/rick-steves-europe-10x08-the-best-of-sicily,1630073
125,10,9,S10E09,Sicilian Delights,"Fresh seafood at the fisherman's harbor in Cefalu, on the northern coast of Sicily; Siracusa; Capuchin crypt; agriturismo; a classic Sicilian banquet.",Food & Cuisine; Nature & Outdoors,Standard,No,Italy,Italy,Mediterranean,Sicily,IT,🇮🇹,37.587794,14.155048,full,2018-12-01,2018,Dec,Sat,6663,7,tt11772760,https://www.imdb.com/title/tt11772760/,7.8,22,7.771667146559171,FALSE,https://i.ytimg.com/vi/y9zJtNWyZEA/maxresdefault.jpg,ricksteves.com,"Sicily serves up a full-bodied and tasty travel experience. We'll dine on fresh seafood at the fisherman's harbor in Cefalù, ponder ancient Greek greatness in Siracusa, commune with monks — alive and departed — in a Capuchin crypt, sleep in an olive orchard at an agriturismo, and eat our way through a classic Sicilian banquet with a famous chef.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/sicily-delights,https://www.tvmaze.com/episodes/1630074/rick-steves-europe-10x09-sicilian-delights,1630074
126,10,10,S10E10,Scotland's Highlands,The Weeping Glen of Glen Coe; Inverness; the battlefield of Culloden; Stone Age burial grounds and Iron Age island forts; Caledonian Canal; Loch Ness; sheepdog demonstration; traditional folk music.,Nature & Outdoors; Music & Festivals,Standard,No,United Kingdom,United Kingdom,British Isles,Scottish Highlands,GB,🇬🇧,56.8,-5,full,2018-12-08,2018,Dec,Sat,6670,7,tt11772618,https://www.imdb.com/title/tt11772618/,8,23,7.870142313653656,FALSE,https://i.ytimg.com/vi/DDiq5C34KL4/maxresdefault.jpg,ricksteves.com,"The Highlands stoke kilted dreams of Scotland…where legends of Bonnie Prince Charlie swirl around lonely castles. We visit the ""Weeping Glen"" of Glencoe, bustling Inverness, and the battlefield at Culloden. Then we'll make a pilgrimage to the spiritual capital of a major clan, and go prehistoric at Stone Age burial grounds and Iron Age island forts. Venturing along the Caledonian Canal and watching for Nessie at Loch Ness, we work up an appetite for modern Scottish cuisine and enjoy traditional folk music.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/scotland-highlands,https://www.tvmaze.com/episodes/1630075/rick-steves-europe-10x10-scotlands-highlands,1630075
127,10,11,S10E11,Scotland's Islands,"The tranquil isle of Iona; Staffa's puffin colony; Isle of Skye's Iron Age forts, thatched crofter huts and Trotternish Peninsula; sailing to Orkney; Scapa Flow.",Nature & Outdoors,Standard,No,United Kingdom,United Kingdom,British Isles,Scottish Islands,GB,🇬🇧,58.9848499,-2.9571529,full,2018-12-15,2018,Dec,Sat,6677,7,tt11772548,https://www.imdb.com/title/tt11772548/,8,24,7.872847682119205,FALSE,https://i.ytimg.com/vi/CsR2Xy-HGPk/maxresdefault.jpg,ricksteves.com,"We'll begin on the tranquil Isle of Iona, where Christianity first reached the shores of Scotland. Then we'll visit another of the Inner Hebrides, road-tripping across the Isle of Skye, where we'll explore Iron Age forts, peat fields, a venerable distillery, thatched crofter huts, and the dramatic Trotternish Peninsula. Finally, we'll sail to Orkney — more Nordic than Celtic — with its stony remnants of a thriving Iron Age civilization and evocative reminders of the 20th-century wartime harbor at Scapa Flow.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/scotland-islands,https://www.tvmaze.com/episodes/1630076/rick-steves-europe-10x11-scotlands-islands,1630076
128,10,12,S10E12,Glasgow and Scottish Passions,"Street art, trendy dining and Charles Rennie Mackintosh architecture in Glasgow, Scotland; touring historic Stirling Castle; bagpipe lesson; the Speyside Whisky Trail; Manhood Stone.",Food & Cuisine; Art & Architecture; History & Heritage; Nature & Outdoors; Music & Festivals; Modern Life & Urban,Standard,No,United Kingdom,United Kingdom,British Isles,Glasgow,GB,🇬🇧,55.861155,-4.2501687,full,2018-12-22,2018,Dec,Sat,6684,7,tt11772356,https://www.imdb.com/title/tt11772356/,8,27,7.88032723022984,FALSE,https://i.ytimg.com/vi/8PtXOw7mnjQ/maxresdefault.jpg,ricksteves.com,"Glasgow, once an industrial powerhouse, offers a fun look at Scotland's vibrantly gritty urban side — full of edgy street art, trendy dining, and the striking architecture of Charles Rennie Mackintosh. Leaving town, we'll tap into Scottish passions as we tour historic Stirling Castle and nearby battlefields, sample a dram at the land's most beloved distilleries on the Speyside Whisky Trail, watch a sheepdog demonstration, and struggle to lift the Manhood Stone at a Highland Games.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/glasgow,https://www.tvmaze.com/episodes/1630077/rick-steves-europe-10x12-glasgow-and-scottish-passions,1630077
129,11,1,S11E01,Austrian and Italian Alps,"Zugspitze; touring Innsbruck, Austria; a Tyrolean village festival; crossing the Alps into Italy to tour a medieval castle and explore the rugged Dolomite Mountains.",History & Heritage; Nature & Outdoors; Music & Festivals,Standard,No,Austria,Austria; Italy,Alpine,Tirol and Dolomites,AT,🇦🇹,47.223193,11.5261028,simple,2020-10-17,2020,Oct,Sat,7349,665,tt13369810,https://www.imdb.com/title/tt13369810/,8.5,21,8.097704194260485,FALSE,https://i.ytimg.com/vi/t8w1zpAUlNo/maxresdefault.jpg,ricksteves.com,"In the Alps of Austria and Italy, we celebrate both nature and culture. After conquering the Zugspitze, we tour Innsbruck, visit a remote farm in Austria, and join in a Tirolean village festival. Then we cross the Alps into Italy and tour a uniquely well-preserved medieval castle before joyriding deep into the rugged Dolomite Mountains. After an unforgettable hike, we catch our breath in Europe’s largest high-altitude meadow, then enjoy some more alpine folk music.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/austrian-and-italian-alps,https://www.tvmaze.com/episodes/1974857/rick-steves-europe-11x01-austrian-and-italian-alps,1974857
130,11,2,S11E02,Swiss Alps,Switzerland's mountains and culture; scenic train rides; exploring glaciers; making cheese the old fashioned way.,Food & Cuisine; Nature & Outdoors; Modern Life & Urban,Standard,No,Switzerland,Switzerland,Alpine,Swiss Alps,CH,🇨🇭,46.3802707,8.871155,full,2020-10-24,2020,Oct,Sat,7356,7,tt13369814,https://www.imdb.com/title/tt13369814/,8.2,25,7.977483443708609,FALSE,https://i.ytimg.com/vi/Cd1Tc2UpnDY/maxresdefault.jpg,ricksteves.com,"Switzerland draws travelers from around the world for its legendary mountains. From the Matterhorn to the Jungfrau to Appenzell, we savor both the country's jaw-dropping alpine beauty and the rich and resilient culture of its people. As we lace together that dramatic mountain wonder with scenic train rides, breathtaking lifts, and unforgettable hikes, we also enjoy alpine life — from exploring glaciers to making cheese the old-fashioned way.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/swiss-alps,https://www.tvmaze.com/episodes/1974858/rick-steves-europe-11x02-swiss-alps,1974858
131,11,3,S11E03,French Alps and Lyon,"The cuisine of Lyon, France; Chamonix in France; riding the lift up to Aiguille du Midi and to the border of Italy; hiking the Tour du Mont Blanc -- the trail that circles the mountain.",Food & Cuisine; Nature & Outdoors,Standard,No,France,France,Alpine,Lyon and Chamonix,FR,🇫🇷,45.7578137,4.8320114,simple,2020-10-31,2020,Oct,Sat,7363,7,tt13496824,https://www.imdb.com/title/tt13496824/,8.1,22,7.915145407428736,FALSE,https://i.ytimg.com/vi/7HXrk76Zfzo/maxresdefault.jpg,ricksteves.com,"After exploring the proud cuisine capital of Lyon — which, at least in its own mind, rivals Paris — we head for Chamonix, in the shadow of western Europe's tallest peak: Mont Blanc. With the classic alpine resort as our springboard, we make some high-altitude cheese, then ride the lift up to Aiguille du Midi and over to the border of Italy. And we hike the Tour du Mont Blanc — the trail that circles that iconic mountain.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/lyon,https://www.tvmaze.com/episodes/1974859/rick-steves-europe-11x03-french-alps-and-lyon,1974859
132,11,4,S11E04,Germany's Fascist Story,"The rise and fall of fascism in Germany; tracing the roots of Nazism after World War I, from Munich to Nuremberg to Berlin; exploring the totalitarian society built by Adolf Hitler.",History & Heritage,Special,No,Germany,Germany,Western Europe,"Munich, Nurnberg, Berlin",DE,🇩🇪,48.1371079,11.5753822,simple,2020-11-07,2020,Nov,Sat,7370,7,tt13496904,https://www.imdb.com/title/tt13496904/,8.3,25,8.028503851871875,FALSE,https://i.ytimg.com/vi/aLWWqUUm2uk/maxresdefault.jpg,ricksteves.com,"Traveling across Germany, we learn how fascism rose and then fell, taking millions of people with it. Visiting actual locations — from Munich to Nürnberg to Berlin — we trace the roots of Nazism in the aftermath of World War I, when masses of angry people were enchanted by Hitler. We explore the totalitarian society Hitler built, and see the consequences: genocide and total war. Learning from Germany's fascist story, we can recognize that hateful ideology as well as the tricks of wannabe dictators in our own age.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/nazi-germany,https://www.tvmaze.com/episodes/1974860/rick-steves-europe-11x04-germanys-fascist-story,1974860
133,11,5,S11E05,Egypt's Cairo,Exploring the back streets of Cairo on a tuk-tuk; baking pita bread; chiseling a tombstone; King Tut's gold; the ancient Sphinx; climbing to the center of a pyramid.,History & Heritage,Standard,No,Egypt,Egypt,Beyond Europe,Cairo,EG,🇪🇬,30.0443879,31.2357257,full,2020-11-14,2020,Nov,Sat,7377,7,tt13497244,https://www.imdb.com/title/tt13497244/,8.2,22,7.962971494385257,FALSE,https://i.ytimg.com/vi/crrUmrG3G_Y/maxresdefault.jpg,ricksteves.com,"Teeming Cairo, straddling the Nile, is the capital of Egypt and one of the leading cities of the Muslim world. With 20 million people, greater Cairo pulses with energy. We explore the back streets on a tuk-tuk, drop in on a mosque, haggle with a gauntlet of eager merchants, bake some pita bread, help chisel a tombstone, marvel at King Tut's gold, greet the ancient Sphinx, and climb into the center of the greatest pyramid.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/cairo,https://www.tvmaze.com/episodes/1974861/rick-steves-europe-11x05-egypts-cairo,1974861
134,11,6,S11E06,"Egypt's Nile, Alexandria, and Luxor","Exploring the Nile Valley from north to south, including the fabled city of Alexandria; pharaohs' tombs and temples in Luxor, Egypt; a riverboat cruise; Ramesses II's temple at Abu Simbel.",History & Heritage; Nature & Outdoors,Standard,No,Egypt,Egypt,Beyond Europe,Nile and Luxor,EG,🇪🇬,22.724378,32.1053309,simple,2020-11-21,2020,Nov,Sat,7384,7,tt14233926,https://www.imdb.com/title/tt14233926/,8.1,18,7.897540208136233,FALSE,https://i.ytimg.com/vi/9E0tESCskO4/maxresdefault.jpg,ricksteves.com,"Exploring the Nile Valley from north to south, we see the highlights of Egypt. In the fabled city of Alexandria, we venture through a market wonderland, smoke a shisha, and stroll a Mediterranean promenade. In Luxor, we explore the pharaohs' tombs and temples before sailing on a timeless felucca. Then we kick back on a riverboat cruise, enjoying iconic views of palm trees, minarets, and rustic villages. Our finale: Ramses II's magnificent temple at Abu Simbel.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/egypt-nile,https://www.tvmaze.com/episodes/1975032/rick-steves-europe-11x06-egypts-nile-alexandria-and-luxor,1975032
135,11,7,S11E07,Ethiopia: A Development Story,Using Ethiopia as a classroom to understand global hunger and extreme poverty and how to beat it; the impact of globalization and climate change.,NA,Special,No,Ethiopia,Ethiopia,Beyond Europe,Ethiopia,ET,🇪🇹,10.2116702,38.6521203,full,2020-11-28,2020,Nov,Sat,7391,7,tt14233946,https://www.imdb.com/title/tt14233946/,7.4,12,7.630463576158941,FALSE,https://i.ytimg.com/vi/7qI711c03W8/maxresdefault.jpg,ricksteves.com,"Venturing beyond Europe, and with local experts as his guides, Rick uses Ethiopia as a classroom for understanding global hunger and extreme poverty — and how to beat it. Together, we witness the importance of water, education, empowering women, and nutrition during a child's first thousand days. And we see firsthand the impact of globalization and climate change. Our souvenir: A vivid appreciation of how ending hunger is possible — and how smart and modern development aid is the key.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/ethiopia,https://www.tvmaze.com/episodes/1975033/rick-steves-europe-11x07-ethiopia-a-development-story,1975033
136,11,8,S11E08,Why We Travel,Rick Steves talks about the value of travel.,NA,Retrospective,No,Multiple,Multiple,Multi-Region,Various,ZZ,🌍,NA,NA,NA,2020-12-05,2020,Dec,Sat,7398,7,tt14233960,https://www.imdb.com/title/tt14233960/,6.9,22,7.341232363950475,FALSE,https://i.ytimg.com/vi/W9bprJ6V_4c/maxresdefault.jpg,ricksteves.com,"In times of crisis and challenge, we ask ourselves: What is the true value of travel? Is it just hedonism...or something more powerful? After a lifetime of exploring Europe — and inspiring Americans to see Europe as the springboard for world exploration — Rick Steves shares his reasons why. This special episode is a sonnet to travel — an introspective love story, set in Europe, that vividly celebrates the rewards of exploring our world and the joy that awaits those who travel.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/why-we-travel,https://www.tvmaze.com/episodes/1975034/rick-steves-europe-11x08-why-we-travel,1975034
137,12,1,S12E01,Art of Prehistoric Europe,"From Ireland to the Greek Isles, a look at Stone Age cave paintings, megaliths and mysterious goddesses.",Art & Architecture; Nature & Outdoors,Art History,No,Multiple,Ireland; France; United Kingdom; Greece,Multi-Region,Various,ZZ,🌍,46.72333333333333,6.606666666666667,centroid,2023-10-01,2023,Oct,Sun,8428,1030,tt30701242,https://www.imdb.com/title/tt30701242/,8.3,10,7.908726139462408,FALSE,https://i.ytimg.com/vi/R2LMCAi7594/maxresdefault.jpg,ricksteves.com,"As the Ice Age glaciers melted, prehistoric Europe bloomed with surprisingly sophisticated art. From Ireland to France, Scotland to the Greek Isles, we traverse that mystical world of mighty megaliths, torchlit cave paintings, magical goddesses, and wrinkled bog people. We stand in awe as a massive tomb is radiated by a dramatic beam of sunlight and listen to ritual horns that still play today.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/prehistoric-art,https://www.tvmaze.com/episodes/2667605/rick-steves-europe-12x01-art-of-prehistoric-europe,2667605
138,12,2,S12E02,Art of Ancient Greece,"Tracing the rise of Greek culture; the Acropolis, Parthenon and Golden Age temples.",Art & Architecture; History & Heritage,Art History,No,Greece,Greece,Mediterranean,Greece,GR,🇬🇷,38.9953683,21.9877132,full,2023-10-08,2023,Oct,Sun,8435,7,tt30701302,https://www.imdb.com/title/tt30701302/,8.5,9,7.951414810355208,TRUE,https://i.ytimg.com/vi/HiXICMEjrqc/maxresdefault.jpg,ricksteves.com,"Ancient Greece laid the foundations of Western art. Traveling from its sun-splashed isles to the rugged mainland to bustling Athens, we trace the rise of Greek culture. We marvel at the timeless Acropolis, perfect Parthenon, and Golden Age theaters. And we watch as art evolves from stiff statues to perfectly balanced Venuses to the exuberant Winged Victory, capturing the spirit of the age.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/greece-art,https://www.tvmaze.com/episodes/2667606/rick-steves-europe-12x02-art-of-ancient-greece,2667606
139,12,3,S12E03,Ancient Roman Art,"Rome's rise through its art, including its supersized monuments, colorful mosaics and marble Caesars.",Art & Architecture; History & Heritage,Art History,No,Italy,Italy,Mediterranean,Rome,IT,🇮🇹,41.8933203,12.4829321,full,2023-10-15,2023,Oct,Sun,8442,7,tt34430552,https://www.imdb.com/title/tt34430552/,NA,NA,7.745695364238411,TRUE,https://i.ytimg.com/vi/y9llZDVLqtk/maxresdefault.jpg,ricksteves.com,"We follow Rome's rise through its awe-inspiring art, starting at Rome's humble birthplace in the Forum. Soon Rome is graced with supersized monuments like the majestic domed Pantheon and the Colosseum, where gladiators battled to the death. We also get a glimpse of Rome's more intimate side: the colorful mosaics, luxurious frescoes, and realistic portraits of the solid citizens who made Rome great.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/roman-art,https://www.tvmaze.com/episodes/2667607/rick-steves-europe-12x03-ancient-roman-art,2667607
140,12,4,S12E04,Art of the Roman Empire,"Exploring ancient Roman cities from England to Turkey, including their art, aqueducts, theaters and churches.",Art & Architecture; History & Heritage; Religion & Spirituality,Art History,No,Multiple,Italy; United Kingdom; Turkey,Multi-Region,Roman Empire,ZZ,🌍,40.91,22.675,centroid,2023-10-22,2023,Oct,Sun,8449,7,tt30701350,https://www.imdb.com/title/tt30701350/,8.1,8,7.834271523178808,TRUE,https://i.ytimg.com/vi/pYSZLc11Hdc/maxresdefault.jpg,ricksteves.com,"With its vast empire, ancient Rome gave Europe its first common culture. From England to Turkey, we explore the greatest Roman cities, marveling at their over-the-top art, soaring aqueducts, and crowd-pleasing theaters. As Rome fell, saints replaced Caesars and Christianity filled the vacuum with art-filled churches — preserving the grandeur of imperial Rome and inspiring the Europe to come.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/roman-empire-art,https://www.tvmaze.com/episodes/2667608/rick-steves-europe-12x04-art-of-the-roman-empire,2667608
